city, square, price_per_sqm_reg, price_per_sqm_avg, std_err, num_obs, coords
"Paris", a-0,n/a,n/a,n/a,0
"Paris",b-0,17.6193574135,20.2646653573,0.376323992169,85,"48.9469427733,2.24290745492"
"Paris", c-0,n/a,n/a,n/a,0
"Paris",d-0,7.44544105655,17.4348977195,0.292013968492,23,"48.9469427733,2.29752042746"
"Paris",e-0,16.708467503,20.5469642575,0.823295910141,6,"48.9469427733,2.32482691373"
"Paris",f-0,14.294738923,19.1474521034,0.563113466616,63,"48.9469427733,2.3521334"
"Paris", g-0,n/a,n/a,n/a,2
"Paris",h-0,9.10073232377,18.380855024,0.498384848049,7,"48.9469427733,2.40674637254"
"Paris",i-0,17.249825358,24.2337714155,1.43134029273,12,"48.9469427733,2.43405285881"
"Paris",j-0,12.5175894769,17.4358893912,1.52780075499,7,"48.9469427733,2.46135934508"
"Paris", a-1,n/a,n/a,n/a,0
"Paris",b-1,12.7808640899,23.5172012329,0.30792037584,197,"48.9288553386,2.24290745492"
"Paris",c-1,14.0680543908,23.6056189819,0.3164067309,294,"48.9288553386,2.27021394119"
"Paris", d-1,n/a,n/a,n/a,0
"Paris",e-1,19.9926837251,20.4912989684,1.40455113427,12,"48.9288553386,2.32482691373"
"Paris",f-1,19.0110038298,20.4905254876,0.534609854101,32,"48.9288553386,2.3521334"
"Paris",g-1,10.1705482334,26.3150656373,0.892273865117,134,"48.9288553386,2.37943988627"
"Paris", h-1,n/a,n/a,n/a,0
"Paris",i-1,15.0262688325,19.0424672144,0.37166674288,127,"48.9288553386,2.43405285881"
"Paris", j-1,n/a,n/a,n/a,0
"Paris", a-2,n/a,n/a,n/a,0
"Paris",b-2,17.8569812422,24.4715997905,0.351485189471,265,"48.910767904,2.24290745492"
"Paris",c-2,25.8577985533,27.7942302916,0.504294851832,193,"48.910767904,2.27021394119"
"Paris",d-2,15.0125299286,23.2793995329,0.264035181985,129,"48.910767904,2.29752042746"
"Paris",e-2,9.68709030647,19.0360285137,0.37721786839,91,"48.910767904,2.32482691373"
"Paris",f-2,12.9827233162,19.4553803923,0.55649453564,14,"48.910767904,2.3521334"
"Paris", g-2,n/a,n/a,n/a,0
"Paris",h-2,13.4877659585,45.7240844721,2.04457762976,57,"48.910767904,2.40674637254"
"Paris",i-2,9.22116945588,21.5660084923,0.631161296821,11,"48.910767904,2.43405285881"
"Paris",j-2,6.75700394863,20.7484107607,0.812359445048,50,"48.910767904,2.46135934508"
"Paris",a-3,22.2832140554,24.6109130729,0.4116011628,83,"48.8926804693,2.21560096865"
"Paris",b-3,29.6968642328,32.1664753235,0.34510641696,223,"48.8926804693,2.24290745492"
"Paris",c-3,32.6166625947,34.9979114453,2.02823886553,7,"48.8926804693,2.27021394119"
"Paris",d-3,34.3440654831,33.7106609858,0.302776082278,977,"48.8926804693,2.29752042746"
"Paris",e-3,30.6241410958,32.7621766314,0.562740910624,576,"48.8926804693,2.32482691373"
"Paris",f-3,28.339467093,33.1196711705,0.916671333035,227,"48.8926804693,2.3521334"
"Paris",g-3,19.9176350181,26.174531353,0.407806767744,245,"48.8926804693,2.37943988627"
"Paris",h-3,26.1868454259,24.8454043831,1.76343766459,26,"48.8926804693,2.40674637254"
"Paris",i-3,11.8480482853,20.8142196383,0.293001383283,50,"48.8926804693,2.43405285881"
"Paris", j-3,n/a,n/a,n/a,0
"Paris",a-4,18.8480608018,22.8273274438,0.292949796637,67,"48.8745930347,2.21560096865"
"Paris",b-4,31.0310546948,32.0175302794,0.252606624272,693,"48.8745930347,2.24290745492"
"Paris", c-4,n/a,n/a,n/a,0
"Paris",d-4,32.6500800961,43.6404285647,1.04371666917,61,"48.8745930347,2.29752042746"
"Paris",e-4,34.5143627956,35.6322565966,0.38924077592,295,"48.8745930347,2.32482691373"
"Paris",f-4,32.8203016058,34.7156226755,0.723716454303,162,"48.8745930347,2.3521334"
"Paris",g-4,25.7715097506,31.4223816134,0.368342932084,693,"48.8745930347,2.37943988627"
"Paris",h-4,19.2750663925,28.8504199198,0.539307985265,20,"48.8745930347,2.40674637254"
"Paris",i-4,11.7964117968,21.8711248639,0.353992811589,128,"48.8745930347,2.43405285881"
"Paris",j-4,14.7476992445,19.1868354415,0.798801527652,51,"48.8745930347,2.46135934508"
"Paris", a-5,n/a,n/a,n/a,2
"Paris",b-5,24.3955501067,28.5858776447,0.304000358777,333,"48.8565056,2.24290745492"
"Paris",c-5,25.8826040718,31.160008095,0.52337320448,768,"48.8565056,2.27021394119"
"Paris",d-5,36.3509721932,36.1907597044,0.59238212391,286,"48.8565056,2.29752042746"
"Paris",e-5,35.3208425717,40.1216232829,0.998648937674,395,"48.8565056,2.32482691373"
"Paris",f-5,34.0869910374,40.3488770789,1.00197594173,101,"48.8565056,2.3521334"
"Paris",g-5,22.6098310886,33.1131302658,1.00120124929,243,"48.8565056,2.37943988627"
"Paris",h-5,25.4808497787,28.9775443798,0.618304537929,30,"48.8565056,2.40674637254"
"Paris",i-5,21.3592792376,31.4615148984,1.63793224584,108,"48.8565056,2.43405285881"
"Paris",j-5,11.8617330785,22.150648816,0.429219785016,165,"48.8565056,2.46135934508"
"Paris", a-6,n/a,n/a,n/a,0
"Paris",b-6,22.7950858176,25.0481333033,0.277721024572,172,"48.8384181653,2.24290745492"
"Paris",c-6,15.6326501331,25.1775614171,0.340788240251,60,"48.8384181653,2.27021394119"
"Paris",d-6,28.1240834525,29.9728403906,0.452057363134,43,"48.8384181653,2.29752042746"
"Paris",e-6,27.8997094943,30.9987697511,0.412826759482,305,"48.8384181653,2.32482691373"
"Paris",f-6,25.7720008687,29.3588563977,0.437119240501,219,"48.8384181653,2.3521334"
"Paris", g-6,n/a,n/a,n/a,0
"Paris",h-6,22.6480812279,31.4642170121,0.578775529767,114,"48.8384181653,2.40674637254"
"Paris", i-6,n/a,n/a,n/a,0
"Paris",j-6,19.9471939109,23.6298828125,0.342354986924,122,"48.8384181653,2.46135934508"
"Paris",a-7,19.9803146622,21.9317786864,0.427287134362,72,"48.8203307307,2.21560096865"
"Paris", b-7,n/a,n/a,n/a,0
"Paris",c-7,18.3194643633,23.4898340351,0.484626224881,79,"48.8203307307,2.27021394119"
"Paris",d-7,19.0769621425,24.7752140397,0.371021409179,74,"48.8203307307,2.29752042746"
"Paris",e-7,12.7612872069,22.3703182104,0.382608917903,113,"48.8203307307,2.32482691373"
"Paris",f-7,24.816357783,26.3356709417,1.61730697949,68,"48.8203307307,2.3521334"
"Paris",g-7,13.6529186079,19.7159990782,0.710821962471,34,"48.8203307307,2.37943988627"
"Paris", h-7,n/a,n/a,n/a,0
"Paris",i-7,12.8761091635,23.8707846776,0.553548134352,137,"48.8203307307,2.43405285881"
"Paris",j-7,16.0609994974,20.4983254143,0.999568591882,26,"48.8203307307,2.46135934508"
"Paris",a-8,16.749111959,19.6817622951,1.36476246525,6,"48.802243296,2.21560096865"
"Paris",b-8,13.6672770948,25.7977691818,0.598708203742,67,"48.802243296,2.24290745492"
"Paris",c-8,14.8337172947,20.8963958289,1.07624850718,21,"48.802243296,2.27021394119"
"Paris",d-8,17.0230977328,24.2430073255,0.771372265811,46,"48.802243296,2.29752042746"
"Paris",e-8,17.1492085738,20.5275471817,0.909595745452,23,"48.802243296,2.32482691373"
"Paris",f-8,11.1736775584,22.8293749659,0.587629990509,144,"48.802243296,2.3521334"
"Paris",g-8,11.56452976,19.8821275317,0.389803280665,183,"48.802243296,2.37943988627"
"Paris",h-8,17.8144009862,23.7805442004,0.506181706344,122,"48.802243296,2.40674637254"
"Paris",i-8,13.4399117085,20.0420529462,0.332385561936,134,"48.802243296,2.43405285881"
"Paris", j-8,n/a,n/a,n/a,0
"Paris", a-9,n/a,n/a,n/a,0
"Paris",b-9,17.8234747132,21.2504470574,0.301159785996,48,"48.7841558614,2.24290745492"
"Paris",c-9,21.8243187067,23.9130719645,0.5607052446,18,"48.7841558614,2.27021394119"
"Paris",d-9,18.9558300886,22.1046283449,0.734452248035,16,"48.7841558614,2.29752042746"
"Paris",e-9,16.6975950606,31.7928951643,2.66339086353,48,"48.7841558614,2.32482691373"
"Paris",f-9,15.2082458273,17.3617283951,1.44807290348,5,"48.7841558614,2.3521334"
"Paris", g-9,n/a,n/a,n/a,0
"Paris",h-9,19.3113146552,21.523158304,0.41560197571,64,"48.7841558614,2.40674637254"
"Paris", i-9,n/a,n/a,n/a,0
"Paris", j-9,n/a,n/a,n/a,1
"Berlin", a-0,n/a,n/a,n/a,0
"Berlin",b-0,11.5384856722,11.1300684605,0.394531679822,17,"52.6074736733,13.2707631341"
"Berlin",c-0,10.8881128674,10.2724549911,0.617050190588,15,"52.6074736733,13.3002873256"
"Berlin",d-0,9.01606654812,9.35635652246,0.205670288197,38,"52.6074736733,13.329811517"
"Berlin",e-0,10.4762495297,10.4207713147,0.358446249732,23,"52.6074736733,13.3593357085"
"Berlin",f-0,10.4393657824,10.5034586527,0.318035455815,26,"52.6074736733,13.3888599"
"Berlin",g-0,10.4293028224,10.2095616129,0.529175906709,16,"52.6074736733,13.4183840915"
"Berlin",h-0,11.0497164171,11.0002003205,0.191388263782,4,"52.6074736733,13.447908283"
"Berlin", i-0,n/a,n/a,n/a,1
"Berlin", j-0,n/a,n/a,n/a,0
"Berlin", a-1,n/a,n/a,n/a,1
"Berlin",b-1,10.528032884,10.5506564307,0.207608142509,51,"52.5893862386,13.2707631341"
"Berlin",c-1,9.5083726019,9.63391794092,0.203633658749,44,"52.5893862386,13.3002873256"
